Incineration (with recovery - film) - SI units,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,-0.918,,,,,,,,,,,,,,,,,
Incineration (with recovery -bracket) - SI units,Bracket Waste,FALSE,bea25bec-19b3-45e7-8207-196c8faf79e6,FALSE,,Z2: REMADE,,,,1,,1,,-0.9118,,,,,,,,,,,,,,,,
Landfill (brackets) - SI units,Bracket Waste,FALSE,bea25bec-19b3-45e7-8207-196c8faf79e6,FALSE,,Z2: REMADE,,,,1,,1,,,-1,,,,,,,,,,,,,,,
Landfill (film) - SI units,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,-1,,,,,,,,,,,,0.11,,
"market for charcoal | charcoal | APOS, S",charcoal,FALSE,8397cd58-0950-4853-ba0e-97ad2a279edb,FALSE,GLO,022:Logging,0220:Logging,,,,,,,,,,1,,,,,,,,,,,,0.08,
"market for electricity, for reuse in municipal waste incineration only | electricity, for reuse in municipal waste incineration only | APOS, S","electricity, for reuse in municipal waste incineration only",FALSE,637ee275-a239-4dcb-b084-abfa110dd65b,FALSE,RoW,382:Waste treatment and disposal,3821:Treatment and disposal of non-hazardous waste,,,,,,3.6,3.6,,,,3.6,,,,,,,,,,,,
"market for ethylene glycol | ethylene glycol | APOS, S",ethylene glycol,FALSE,4052f31f-cd94-4b86-b075-210914586a0f,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,,,,,,,,1,,,,,,,,,,,-0.023
"market for maleic anhydride | maleic anhydride | APOS, S",maleic anhydride,FALSE,4c2b6470-79f6-40e4-b6c0-08a769c9ab04,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,,,,,,,,,1,,,,,,,,-0.00094,,
"market for nylon 6 | nylon 6 | APOS, S",nylon 6,FALSE,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,FALSE,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,,1,,,,,,,-0.289,,0.26
"market for petroleum | petroleum | APOS, S",petroleum,FALSE,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,FALSE,GLO,061:Extraction of crude petroleum,0610:Extraction of crude petroleum,,,,,,,,,,,,,,,1,,,,,,,0.7404,
"market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","polyethylene, linear low density, granulate",FALSE,ff4734a5-a4a6-4960-bfbd-febae7a64f65,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,,,,1,,,,,-0.821,,0.74
"market for polypropylene, granulate | polypropylene, granulate | APOS, S","polypropylene, granulate",FALSE,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,FALSE,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,-1,0.95,-1,,,,,,,,,,,,1,,,,,,
"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | APOS, S","transport, freight, lorry 7.5-16 metric ton, EURO6",FALSE,73585052-b3e9-4cde-832d-2db3272d2ae5,FALSE,RoW,492:Other land transport,4923:Freight transport by road,,,-0.264,,,,,,,,,,,,,,,1,,,,,
"market group for electricity, medium voltage | electricity, medium voltage | APOS, S","electricity, medium voltage",FALSE,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,FALSE,US,"351:Electric power generation, transmission and distribution","3510:Electric power generation, transmission and distribution",,,-1,-0.408,-1,,,,,,,,,,,,,,3.6,,-3.24,,-0.648
"market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","heat, district or industrial, natural gas",FALSE,1125e767-7b5d-442e-81d6-9b0d3e1919ac,FALSE,GLO,353:Steam and air conditioning supply,3530:Steam and air conditioning supply,,,,,,,,,,,,,,,,,,,,1,,,-0.0035136
multilayer film production - SI units,multilayer film,FALSE,3a017a81-50f7-4a19-b71c-106d1b57115e,FALSE,,Z2: REMADE,,,,-1,,,,,,,,,,,,,,,,,,1,,
Pyrolysis - SI units,multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,,,,,,,,,,,,-1,
STRAP (SI units),multilayer film waste,FALSE,36e9153c-f08a-4edf-8aae-80eef6f20e3d,FALSE,,Z2: REMADE,,,,1,,,,,,,,,,,,,,,,,,,,-1
